"","F_SCORE_adj","F_SCORE","F_ROA_chg_ind_adj","F_CFO_ind_adj","F_ACCRUAL_ind_adj","F_MARGIN_chg_ind_adj","F_TURN_chg_ind_adj","F_LEVER_chg_ind_adj","F_LIQUID_chg_ind_adj","F_EQUITY_ind_adj","gvkey","datadate","fyear","datadate.1","tic","cusip","bm_ratio","market_cap","quintile","cap_group"
"49007",6,NA,0,1,1,1,0,1,0,1,185827,20131231,2013,20131231,"SPBC","78468K106",1.11273106753327,29.4914106,5,5
"49029",8,8,1,1,1,1,1,1,1,0,185837,20131231,2013,20131231,"BITA","091727107",0.183817271589487,1326.27608,2,16
"49053",4,4,0,0,0,0,0,1,1,1,185855,20131231,2013,20131231,"XNY","16950W113",3.32290076335878,74.57699,5,8
"49075",3,3,0,1,1,0,0,0,0,0,185868,20130930,2013,20130930,"WSBHF","96336D104",0.745981035740335,520.40418,4,13
"49112",6,6,1,1,1,1,1,1,0,0,185912,20131231,2013,20131231,"YOKU","98742U100",0.292273927392739,5077.0983,2,18
"49135",3,3,1,0,0,1,0,0,0,0,185929,20131231,2013,20131231,"BONA","09777B107",0.580696864111498,346.2368,3,12
"49158",3,NA,0,0,1,0,0,1,0,1,185940,20140531,2013,20140531,"LGDRF","50706Q104",0.87,0.9428,4,1
"49184",0,NA,0,0,0,0,0,0,0,0,185949,20131231,2013,20131231,"XPF.","46431J100",NA,166.38,NA,10
"49207",5,5,0,1,1,0,0,1,0,1,185960,20131231,2013,20131231,"STRDF","862547106",0.922373333333333,139.69125,4,10
"49228",1,NA,0,0,0,0,0,0,0,1,185979,20140331,2013,20140331,"GRSU","39530T202",-0.0016,10.845,1,3
"49290",0,NA,0,0,0,0,0,0,0,0,186037,20131231,2013,20131231,"KBWP","73936Q777",NA,21.5424,NA,5
"49314",1,NA,0,0,0,0,0,0,0,1,186046,20131231,2013,20131231,"NUGT","25459Y389",NA,651.64534,NA,14
"49341",1,NA,0,0,0,0,0,0,0,1,186053,20131231,2013,20131231,"EWEM","78355W536",NA,10.08384,NA,3
"49384",2,NA,0,0,1,0,0,1,0,0,186093,20140331,2013,20140331,"SNCGF","867703209",-0.673333333333333,1.566,1,1
"49409",1,NA,0,0,0,0,0,0,0,1,186105,20131231,2013,20131231,"HVU.","44048A133",NA,19.05882,NA,4
"49484",0,NA,0,0,0,0,0,0,0,0,186152,20131231,2013,20131231,"EDF","86164T107",NA,287.8988,NA,12
"49504",3,3,0,0,1,1,1,0,0,0,186159,20131231,2013,20131231,"SUPN","868459108",0.111007957559682,301.47182,1,12
"49531",3,3,0,0,1,0,1,0,1,0,186188,20131231,2013,20131231,"WHTGF","G57919105",-3.04,12.08595,1,3
"49563",0,NA,0,0,0,0,0,0,0,0,186210,20131231,2013,20131231,"WDTI","97717W125",NA,149.3658,NA,10
"49607",0,NA,0,0,0,0,0,0,0,0,186269,20131231,2013,20131231,"NCERF","64105A107",NA,NA,NA,NA
"49631",3,3,0,1,1,0,0,0,0,1,186288,20131231,2013,20131231,"WIFI","09739C102",0.618876755070203,225.79866,4,11
"49651",0,NA,0,0,0,0,0,0,0,0,186301,20131231,2013,20131231,"BSJE","18383M431",NA,512.064,NA,13
"49689",1,NA,0,0,0,0,0,0,0,1,186324,20131231,2013,20131231,"HDGE","00768Y883",NA,133.023,NA,10
"49709",2,NA,0,0,0,0,0,1,1,0,186335,20140531,2013,20140531,"EME.","29102K200",0.195,0.96476,2,1
"49733",4,4,0,1,1,0,0,1,1,0,186345,20131231,2013,20131231,"SKUL","83083J104",0.704757281553398,200.27938,4,11
"49755",0,NA,0,0,0,0,0,0,0,0,186356,20131231,2013,20131231,"AND","37950E655",NA,10.05345,NA,3
"49775",2,NA,0,0,1,0,0,0,0,1,186370,20140131,2013,20140131,"ESSI","27888G104",-0.272727272727273,1.4619033,1,1
"49797",1,NA,0,0,0,0,0,0,0,1,186379,20131231,2013,20131231,"ZXC.","05572J105",NA,3.118,NA,2
"49823",2,2,0,0,1,0,0,0,0,1,186390,20131031,2013,20131031,"3PGCG","74164U100",0.0942666666666667,384.5115,1,13
"49846",3,NA,0,0,1,0,1,0,0,1,186435,20131231,2013,20131231,"PACQF","G72436101",0.341371428571429,22.26,2,5
"49876",7,NA,1,1,1,1,0,1,0,1,186498,20130930,2013,20130930,"PBSK","730206109",1.30063667820069,44.52045,5,7
"49939",1,NA,0,0,0,0,0,0,0,1,186546,20131231,2013,20131231,"CRUD","88166A300",NA,2.017,NA,1
"49965",2,NA,0,0,0,0,0,1,0,1,186571,20130630,2013,20130630,"VNTH","92210G107",-0.585365853658536,0.3285125,1,1
"49985",3,3,0,0,1,0,0,1,1,0,186607,20131231,2013,20131231,"NLNK","651511107",0.0997273966378918,584.87173,1,14
"50009",0,NA,0,0,0,0,0,0,0,0,186635,20130930,2013,20130930,"MACIF","554795104",NA,NA,NA,NA
"50080",4,NA,0,0,0,1,0,0,1,1,186699,20131231,2013,20131231,"VGGGF","694071200",NA,NA,NA,NA
"50160",1,NA,0,0,0,0,0,0,0,1,186749,20131231,2013,20131231,"TYNS","25459Y108",NA,1.7065,NA,1
"50180",6,6,0,1,1,1,0,1,0,1,186773,20131231,2013,20131231,"SXC","86722A103",0.350916264796142,1588.41997,3,16
"NA.76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50202",1,NA,0,0,0,0,0,0,0,1,186791,20131231,2013,20131231,"IGS","74347R123",NA,3.203,NA,2
"50270",1,NA,0,0,0,0,0,0,0,1,186844,20131231,2013,20131231,"GERJ","57060U381",NA,6.0788,NA,2
"50291",6,NA,0,1,1,1,0,1,0,1,186858,20130930,2013,20130930,"ARMK","03852U106",NA,NA,NA,NA
"50332",3,NA,1,0,1,0,0,1,0,0,186896,20131231,2013,20131231,"PLGTF","72154R103",0.923837209302326,77.3484,4,8
"50351",1,NA,0,0,0,0,0,0,0,1,186906,20131231,2013,20131231,"HEP.","44049Q129",NA,31.5276,NA,6
"50373",3,NA,1,0,1,0,0,1,0,0,186956,20131231,2013,20131231,"ARSMF","051547107",1.118,151.4046,5,10
"50395",1,NA,0,0,0,0,0,0,0,1,186968,20131231,2013,20131231,"UJB","74348A707",NA,2.7645,NA,2
"50469",0,NA,0,0,0,0,0,0,0,0,187011,20131231,2013,20131231,"FEP","33737J117",NA,409.64,NA,13
